Unique ID ;Parent;Name;Tier 1;Tier 2;Tier 3;Tier 4
1;;Automotive;Automotive;;;
2;1;Auto Body Styles;Automotive;Auto Body Styles;;
3;2;Commercial Trucks;Automotive;Auto Body Styles;Commercial Trucks;
4;2;Sedan;Automotive;Auto Body Styles;Sedan;
5;2;Station Wagon;Automotive;Auto Body Styles;Station Wagon;
6;2;SUV;Automotive;Auto Body Styles;SUV;
7;2;Van;Automotive;Auto Body Styles;Van;
8;2;Convertible;Automotive;Auto Body Styles;Convertible;
9;2;Coupe;Automotive;Auto Body Styles;Coupe;
10;2;Crossover;Automotive;Auto Body Styles;Crossover;
11;2;Hatchback;Automotive;Auto Body Styles;Hatchback;
12;2;Microcar;Automotive;Auto Body Styles;Microcar;
13;2;Minivan;Automotive;Auto Body Styles;Minivan;
14;2;Off-Road Vehicles;Automotive;Auto Body Styles;Off-Road Vehicles;
15;2;Pickup Trucks;Automotive;Auto Body Styles;Pickup Trucks;
16;1;Auto Type;Automotive;Auto Type;;
17;16;Budget Cars;Automotive;Auto Type;Budget Cars;
